Z,Drift,CCS,CCS Std.Dev.
23,0.001383,3054.22,40.1164
23,0.001521,3107.93,39.3598
23,0.001659,3160.75,38.742
23,0.001797,3212.78,38.1838
23,0.001936,3264.44,37.5978
23,0.002074,3314.76,36.8615
23,0.002212,3364.42,36.4039
23,0.00235,3413.46,35.9905
23,0.002489,3462.2,35.4843
23,0.002627,3509.94,34.9969
23,0.002765,3557.05,34.5533
23,0.002903,3603.58,34.128
23,0.003042,3649.87,33.7171
23,0.00318,3695.28,33.3254
23,0.003318,3740.16,32.949
23,0.003456,3784.54,32.587
23,0.003595,3828.74,32.2361
23,0.003733,3872.12,31.8595
23,0.003871,3914.79,31.3003
23,0.004009,3957.02,30.9846
23,0.004148,3999.24,30.8027
23,0.004286,4040.83,30.5942
23,0.004424,4082.04,30.3965
23,0.004562,4122.93,30.1504
23,0.004701,4163.68,29.8424
23,0.004839,4203.72,29.5414
23,0.004977,4243.37,29.2709
23,0.005115,4282.67,29.0299
23,0.005253,4321.61,28.7967
23,0.005392,4360.5,28.5692
23,0.00553,4398.78,28.3505
23,0.005668,4436.74,28.1385
23,0.005806,4474.39,27.9331
23,0.005945,4512.01,27.7325
23,0.006083,4548.94,27.4461
23,0.006221,4585.56,27.2846
23,0.006359,4621.98,27.1412
23,0.006498,4658.41,26.9615
23,0.006636,4694.3,26.7882
23,0.006774,4729.92,26.6199
23,0.006912,4765.29,26.4564
23,0.007051,4800.65,26.2964
23,0.007189,4835.51,26.142
23,0.007327,4870.12,25.992
23,0.007465,4904.5,25.8462
23,0.007604,4938.89,25.7033
23,0.007742,4972.8,25.5655
23,0.00788,5006.48,25.4314
23,0.008019,5040.19,25.3001
23,0.008157,5073.43,25.1732
23,0.008295,5106.47,25.0498
23,0.008433,5139.29,24.9298
23,0.008571,5171.91,24.813
23,0.00871,5204.57,24.6985
23,0.008848,5236.79,24.5878
23,0.008986,5268.82,24.4802
23,0.009125,5300.88,24.3746
23,0.009263,5332.53,24.2726
23,0.009401,5364.0,24.1733
23,0.009539,5395.28,24.0766
23,0.009677,5426.39,23.9824
23,0.009816,5457.54,23.89
23,0.009954,5488.3,23.8007
23,0.010092,5518.88,23.7138
23,0.010231,5549.52,23.6284
23,0.010369,5579.78,23.5459
23,0.010507,5609.87,23.4656
23,0.010645,5639.8,23.3873
23,0.010783,5669.58,23.311
23,0.010922,5699.42,23.2362
23,0.01106,5728.88,23.1637
23,0.011198,5758.2,23.0932
23,0.011337,5787.58,23.0239
23,0.011475,5816.6,22.9569
23,0.011613,5845.48,22.8916
23,0.011751,5874.22,22.828
23,0.011889,5902.81,22.7659
23,0.012028,5931.47,22.705
23,0.012166,5959.79,22.646
23,0.012304,5987.98,22.5885
23,0.012443,6016.23,22.532
23,0.012581,6044.15,22.4774
23,0.012719,6071.93,22.4241
23,0.012857,6099.59,22.3721
23,0.012995,6127.13,22.3214
23,0.013134,6154.73,22.2707
23,0.013272,6181.95,22.1358
23,0.01341,6209.05,22.1806
23,0.013549,6236.34,22.1849
23,0.013687,6263.47,22.2206
23,0.013825,6290.29,22.0296
23,0.013963,6316.91,22.0197
23,0.014101,6343.59,22.0538
23,0.01424,6370.36,22.0508
23,0.014378,6396.84,22.0022
