[PARAMETERS]
g, dg, a, da, c, dc, t0, dt0
1.49568,0.00277846,0.513949,0.00963883,0.981966,0.0136002,0.00458756,8.90563e-05

[DIAGNOSTICS]
ID,Mass,Z,Mobility,Alpha,Gamma,Model Vel.,Exp. Vel.,Error %
BSA_15,66400,15,0.0250229,0.481073,0.108509,12.8957,14.8702,-13.278
BSA_16,66400,16,0.0268105,0.483225,0.116261,14.6953,16.1859,-9.20982
myoglobin_15,17000,15,0.0276901,0.136294,0.120075,16.6817,17.2262,-3.16086
myoglobin_16,17000,16,0.0286882,0.132382,0.124403,17.7781,18.3227,-2.97246
myoglobin_17,17000,17,0.0295618,0.128389,0.128191,18.7549,19.2131,-2.38482
myoglobin_18,17000,18,0.0303843,0.124629,0.131758,19.6959,19.9656,-1.35055
myoglobin_19,17000,19,0.0311599,0.121084,0.135121,20.6023,20.629,-0.129667
myoglobin_20,17000,20,0.0318927,0.117735,0.138299,21.4752,21.2598,1.0131
myoglobin_21,17000,21,0.0326536,0.114804,0.141598,22.4093,21.9255,2.20653
myoglobin_22,17000,22,0.0335133,0.11247,0.145326,23.5066,22.637,3.84158
myoglobin_23,17000,23,0.0344072,0.11045,0.149203,24.6829,23.4186,5.39869
myoglobin_24,17000,24,0.0353389,0.108714,0.153243,25.9469,24.3171,6.70206

[CALIBRATED DATA]
ID,Mass,Z,Drift,CCS,CCS Std.Dev.
91,147065,21,0.012581,5459.81,23.7515
92,147065,21,0.012719,5485.71,23.6892
93,147065,21,0.012857,5511.5,23.6284
94,147065,21,0.012995,5537.16,23.5691
95,147065,21,0.013134,5562.9,23.5109
96,147065,21,0.013272,5588.33,23.4545
97,147065,21,0.01341,5613.64,23.3995
98,147065,21,0.013549,5639.03,23.3454
99,147065,21,0.013687,5664.12,23.2931
100,147065,21,0.013825,5689.1,23.2421
101,147065,21,0.013963,5713.97,23.1924
102,147065,21,0.014101,5738.74,23.1439
103,147065,21,0.01424,5763.57,23.0963
104,147065,21,0.014378,5788.12,23.0502
105,147065,21,0.014516,5812.57,23.0053
106,147065,21,0.014655,5837.09,22.9613
107,147065,21,0.014793,5861.34,22.9186
108,147065,21,0.014931,5885.48,22.877
109,147065,21,0.015069,5909.53,22.8366
110,147065,21,0.015208,5933.65,22.7968
111,147065,21,0.015346,5957.5,22.7584
112,147065,21,0.015484,5981.25,22.721
113,147065,21,0.015622,6004.91,22.6845
114,147065,21,0.01576,6028.48,22.6491
115,147065,21,0.015899,6052.12,22.6143
116,147065,21,0.016037,6075.51,22.5807
117,147065,21,0.016175,6098.8,22.548
118,147065,21,0.016313,6122,22.5161
119,147065,21,0.016452,6145.28,22.4849
120,147065,21,0.01659,6168.29,22.4268
121,147065,21,0.016728,6191.11,22.2992
122,147065,21,0.016867,6214.09,22.4173
123,147065,21,0.017005,6237.01,22.5122
124,147065,21,0.017143,6259.8,22.4153
125,147065,21,0.017281,6282.44,22.3873
126,147065,21,0.01742,6305.07,22.1902
127,147065,21,0.017558,6327.51,22.26
128,147065,21,0.017696,6349.93,22.3244
129,147065,21,0.017834,6372.3,22.3204
130,147065,21,0.017972,6394.59,22.3004
131,147065,21,0.018111,6416.98,22.29
132,147065,21,0.018249,6439.15,22.2922
133,147065,21,0.018387,6461.27,22.2974
134,147065,21,0.018525,6483.16,22.0646
135,147065,21,0.018664,6504.84,21.7943
136,147065,21,0.018802,6526.41,21.9608
137,147065,21,0.01894,6548.17,22.1513
138,147065,21,0.019079,6570.08,22.2389
139,147065,21,0.019217,6591.75,22.1874
140,147065,21,0.019355,6613.3,22.1223
141,147065,21,0.019493,6634.76,22.0869
142,147065,21,0.019632,6656.31,22.072
143,147065,21,0.01977,6677.63,22.0608
144,147065,21,0.019908,6698.85,22.02
145,147065,21,0.020046,6719.98,21.9907
146,147065,21,0.020184,6741.06,22.0028
147,147065,21,0.020323,6762.25,22.0038
148,147065,21,0.020461,6783.22,21.9987
149,147065,21,0.020599,6804.13,21.9912
150,147065,21,0.020737,6824.98,21.9843
151,147065,21,0.020876,6845.92,21.9778
152,147065,21,0.021014,6866.65,21.9719
153,147065,21,0.021152,6887.31,21.9665
154,147065,21,0.021291,6908.06,21.9617
155,147065,21,0.021429,6928.61,21.9573
156,147065,21,0.021567,6949.09,21.9535
157,147065,21,0.021705,6969.52,21.9501
158,147065,21,0.021844,6990.03,21.9472
159,147065,21,0.021982,7010.34,21.9448
160,147065,21,0.02212,7030.59,21.9429
161,147065,21,0.022258,7050.78,21.9414
162,147065,21,0.022396,7070.92,21.9403
163,147065,21,0.022535,7091.14,21.9397
164,147065,21,0.022673,7111.17,21.9395
165,147065,21,0.022811,7131.14,21.9398
166,147065,21,0.022949,7151.06,21.9404
167,147065,21,0.023088,7171.06,21.9415
168,147065,21,0.023226,7190.87,21.9429
169,147065,21,0.023364,7210.63,21.9448
170,147065,21,0.023503,7230.47,21.947
171,147065,21,0.023641,7250.12,21.9497
172,147065,21,0.023779,7269.72,21.9526
173,147065,21,0.023917,7289.26,21.956
174,147065,21,0.024056,7308.9,21.9597
175,147065,21,0.024194,7328.35,21.9638
176,147065,21,0.024332,7347.74,21.9682
177,147065,21,0.02447,7367.09,21.973
178,147065,21,0.024608,7386.38,21.9781
179,147065,21,0.024747,7405.77,21.9835
180,147065,21,0.024885,7424.81,21.7578
181,147065,21,0.025023,7443.58,21.4672
182,147065,21,0.025162,7462.41,21.4321
183,147065,21,0.0253,7481.12,21.646
184,147065,21,0.025438,7500.02,21.7864
185,147065,21,0.025576,7518.9,21.9382
186,147065,21,0.025715,7537.93,21.9804
187,147065,21,0.025853,7556.78,22.0338
188,147065,21,0.025991,7575.6,22.042
189,147065,21,0.026129,7594.37,22.0504
190,147065,21,0.026267,7613.09,22.0591
191,147065,21,0.026406,7631.91,22.0681
192,147065,21,0.026544,7650.55,22.0774
193,147065,21,0.026682,7669.14,22.0868
194,147065,21,0.02682,7687.69,22.0966
195,147065,21,0.026959,7706.33,22.1067
196,147065,21,0.027097,7724.8,22.1169
197,147065,21,0.027235,7743.22,22.1274
198,147065,21,0.027374,7761.73,22.1382
199,147065,21,0.027512,7780.06,22.1482
