Protein,Charge,Drift,CCS,CCS Std.Dev.,Normalized_Intensity,Scaled_Intensity,m/z
mAb4,21,0.024194,7328.35,21.9638,0.000549073438572409,38.05492122107719,7004.1120379047625
mAb4,21,0.024332,7347.74,21.9682,0.00031149358534396284,21.58884953888033,7004.1120379047625
mAb4,21,0.02447,7367.09,21.973,0.0003484504514017211,24.15023846722206,7004.1120379047625
mAb4,21,0.024608,7386.38,21.9781,0.00038012776516551397,26.345714691514978,7004.1120379047625
mAb4,21,0.024747,7405.77,21.9835,0.00031149358534396284,21.58884953888033,7004.1120379047625
mAb4,21,0.024885,7424.81,21.7578,0.0014043609101948155,97.33277927698589,7004.1120379047625
mAb4,21,0.025023,7443.58,21.4672,0.0002850958238741355,19.759286018636235,7004.1120379047625
mAb4,21,0.025162,7462.41,21.4321,0.0003484504514017211,24.15023846722206,7004.1120379047625
mAb4,21,0.0253,7481.12,21.646,0.000570191647748271,39.51857203727247,7004.1120379047625
mAb4,21,0.025438,7500.02,21.7864,0.0007338577688612006,50.86186586278586,7004.1120379047625
mAb4,21,0.025576,7518.9,21.9382,0.0006388258275698221,44.275437189907116,7004.1120379047625
mAb4,21,0.025715,7537.93,21.9804,0.00030093448075603187,20.857024130782687,7004.1120379047625
mAb4,21,0.025853,7556.78,22.0338,0.00023230030093448077,16.10015897814804,7004.1120379047625
mAb4,21,0.025991,7575.6,22.042,0.0011245446386146454,77.93940596239847,7004.1120379047625
mAb4,21,0.026129,7594.37,22.0504,0.00040124597434137586,27.809365507710254,7004.1120379047625
mAb4,21,0.026267,7613.09,22.0591,0.0007602555303310279,52.691429383029956,7004.1120379047625
mAb4,21,0.026406,7631.91,22.0681,0.0008922443376801647,61.83924698425043,7004.1120379047625
mAb4,21,0.026544,7650.55,22.0774,0.00012142970276120586,8.41599219312284,7004.1120379047625
mAb4,21,0.026682,7669.14,22.0868,0.0002428594055224117,16.83198438624568,7004.1120379047625
mAb4,21,0.02682,7687.69,22.0966,0.000570191647748271,39.51857203727247,7004.1120379047625
mAb4,21,0.026959,7706.33,22.1067,0.00030093448075603187,20.857024130782687,7004.1120379047625
mAb4,21,0.027097,7724.8,22.1169,0.00016366612111292964,11.343293825513394,7004.1120379047625
mAb4,21,0.027235,7743.22,22.1274,0.0014571564331344702,100.99190631747408,7004.1120379047625
mAb4,21,0.027374,7761.73,22.1382,0.000369568660577583,25.613889283417336,7004.1120379047625
mAb4,21,0.027512,7780.06,22.1482,0.0006757826936275804,46.836826118248844,7004.1120379047625
mAb4,22,0.000138,2320.37,50.9714,0.0002243465431619934,56.456369224141106,6685.789094181819
mAb4,22,0.000276,2384.16,49.6993,0.00016477429723762228,41.46512993863471,6685.789094181819
mAb4,22,0.000415,2446.86,48.4608,0.0002332190053209423,58.68910699006759,6685.789094181819
mAb4,22,0.000553,2507.65,47.3151,0.00039038833499375125,98.24046170076532,6685.789094181819
mAb4,22,0.000691,2567.1,46.2475,0.0002534989188271112,63.79250759789956,6685.789094181819
mAb4,22,0.00083,2625.69,45.2434,0.00014829686751386006,37.31861694477124,6685.789094181819
mAb4,22,0.000968,2682.67,44.3103,9.50620945601667e-05,23.922190349212332,6685.789094181819
mAb4,22,0.001106,2738.53,43.4323,0.0003434910350107357,86.4388477951539,6685.789094181819
mAb4,22,0.001244,2793.33,42.604,0.0002332190053209423,58.68910699006759,6685.789094181819
mAb4,22,0.001383,2847.51,41.8157,0.00013055194319596227,32.85314141291827,6685.789094181819
mAb4,22,0.001521,2900.35,41.0717,0.00039038833499375125,98.24046170076532,6685.789094181819
mAb4,22,0.001659,2952.25,40.3374,0.00021800907019131564,54.861556534193625,6685.789094181819
mAb4,22,0.001797,3003.27,39.724,0.00013055194319596227,32.85314141291827,6685.789094181819
mAb4,22,0.001936,3054.01,39.1451,0.0004296806674119535,108.12830037843976,6685.789094181819
mAb4,22,0.002074,3103.52,38.463,0.0003346185728517868,84.20611002922742,6685.789094181819
mAb4,22,0.002212,3152.23,37.8733,0.00018632170533792674,46.88749308445618,6685.789094181819
mAb4,22,0.00235,3200.29,37.3628,9.759708374843781e-05,24.56011542519133,6685.789094181819
mAb4,22,0.002489,3248.04,36.8814,9.252710537189559e-05,23.28426527323334,6685.789094181819
mAb4,22,0.002627,3294.76,36.3195,4.9432289171286685e-05,12.439538981590415,6685.789094181819
mAb4,22,0.002765,3340.65,35.7153,0.00020533412424996006,51.67193115429864,6685.789094181819
mAb4,22,0.002903,3386.1,35.3784,0.0001064695459073867,26.792853191117814,6685.789094181819
mAb4,22,0.003042,3431.34,34.9867,0.00028645377827463565,72.0855335856265,6685.789094181819
mAb4,22,0.00318,3475.69,34.5449,5.703725673610002e-05,14.353314209527401,6685.789094181819
mAb4,22,0.003318,3519.49,34.1191,0.00022307904856785785,56.13740668615161,6685.789094181819
mAb4,22,0.003456,3562.77,33.7313,0.00019392667290274007,48.80126831239316,6685.789094181819
mAb4,22,0.003595,3605.85,33.356,0.00021674157559718008,54.542593996204126,6685.789094181819
mAb4,22,0.003733,3648.15,32.9976,0.00010773704050152226,27.111815729107313,6685.789094181819
mAb4,22,0.003871,3689.98,32.6526,0.00011914449184874226,29.98247857101279,6685.789094181819
mAb4,22,0.004009,3731.36,32.3204,0.00017364675939657116,43.6978677045612,6685.789094181819
mAb4,22,0.004148,3772.6,31.9979,0.0,0.0,6685.789094181819
mAb4,22,0.004286,3813.12,31.6892,0.00016350680264348673,41.14616740064522,6685.789094181819
mAb4,22,0.004424,3853.23,31.3913,0.00010393455671911559,26.15492811513882,6685.789094181819
mAb4,22,0.004562,3892.91,31.0425,0.00031053617556321125,78.14582180742697,6685.789094181819
mAb4,22,0.004701,3932.25,30.539,0.00011787699725460671,29.663516033023296,6685.789094181819
mAb4,22,0.004839,3970.95,30.2726,0.0002420914674798912,60.92184475599408,6685.789094181819
mAb4,22,0.004977,4009.39,30.1318,3.6757343229931124e-05,9.249913601695436,6685.789094181819
mAb4,22,0.005115,4047.58,29.9643,4.055982701233779e-05,10.20680121566393,6685.789094181819
mAb4,22,0.005253,4085.45,29.8055,0.0002192765647854512,55.180519072183124,6685.789094181819
mAb4,22,0.005392,4123.32,29.6018,7.351468645986225e-05,18.499827203390872,6685.789094181819
mAb4,22,0.00553,4160.57,29.3409,6.844470808332003e-05,17.223977051432882,6685.789094181819
mAb4,22,0.005668,4197.45,29.0772,0.00014829686751386006,37.31861694477124,6685.789094181819
mAb4,22,0.005806,4234.01,28.8244,0.0001470293729197245,36.999654406781744,6685.789094181819
mAb4,22,0.005945,4270.51,28.6056,0.00029279125124531344,73.680346275574,6685.789094181819
mAb4,22,0.006083,4306.45,28.4014,3.0419870259253344e-05,7.655100911747947,6685.789094181819
mAb4,22,0.006221,4342.1,28.2034,3.295485944752446e-05,8.293025987726942,6685.789094181819
mAb4,22,0.006359,4377.47,28.0113,0.0001495643621079956,37.63757948276074,6685.789094181819
mAb4,22,0.006498,4412.82,27.8237,0.00017998423236724895,45.292680394508686,6685.789094181819
mAb4,22,0.006636,4447.65,27.6429,9.50620945601667e-05,23.922190349212332,6685.789094181819
mAb4,22,0.006774,4482.21,27.4674,0.0002534989188271112,63.79250759789956,6685.789094181819
mAb4,22,0.006912,4516.47,27.2606,7.858466483640447e-05,19.77567735534886,6685.789094181819
mAb4,22,0.007051,4550.64,27.0327,0.0002560339080153823,64.43043267387856,6685.789094181819
mAb4,22,0.007189,4584.37,26.9095,0.00018378671614965563,46.24956800847718,6685.789094181819
mAb4,22,0.007327,4617.89,26.7813,0.0001584368242669445,39.87031724868722,6685.789094181819
mAb4,22,0.007465,4651.19,26.6273,0.0005437551808841535,136.83492879749454,6685.789094181819
mAb4,22,0.007604,4684.5,26.4765,0.0005830475133023558,146.72276747516898,6685.789094181819
mAb4,22,0.007742,4717.35,26.3308,0.0006324798024736425,159.1623064567594,6685.789094181819
mAb4,22,0.00788,4749.97,26.1892,0.0014310013967790427,360.108705390143,6685.789094181819
mAb4,22,0.008019,4782.61,26.0503,0.002585688972036534,650.6835774985755,6685.789094181819
mAb4,22,0.008157,4814.79,25.9162,0.005570638741225768,1401.8403544638427,6685.789094181819
mAb4,22,0.008295,4846.77,25.7857,0.011008190550067304,2770.1896424387883,6685.789094181819
mAb4,22,0.008433,4878.54,25.6587,0.019644898714506982,4943.600376299226,6685.789094181819
mAb4,22,0.008571,4910.12,25.5351,0.04457651738115337,11217.593498552647,6685.789094181819
mAb4,22,0.00871,4941.72,25.4138,0.11653852296319957,29326.691592906387,6685.789094181819
mAb4,22,0.008848,4972.89,25.2967,0.268438877608187,67552.11903318178,6685.789094181819
mAb4,22,0.008986,5003.88,25.1826,0.5024716144585644,126445.99997263863,6685.789094181819
mAb4,22,0.009125,5034.9,25.0707,0.7107577336182661,178860.7948779148,6685.789094181819
mAb4,22,0.009263,5065.52,24.9625,0.9029707538297349,227230.82583894616,6685.789094181819
mAb4,22,0.009401,5095.95,24.8571,1.0,251648.0460471182,6685.789094181819
mAb4,22,0.009539,5126.21,24.7545,0.967076827917329,243362.99412284102,6685.789094181819
mAb4,22,0.009677,5156.29,24.6545,0.8448992215048203,212617.23819841933,6685.789094181819
mAb4,22,0.009816,5186.42,24.5564,0.6820122237178659,171627.04347885097,6685.789094181819
mAb4,22,0.009954,5216.16,24.4615,0.5111032526446275,128618.13485634711,6685.789094181819
mAb4,22,0.010092,5245.73,24.3691,0.3518045320536708,88530.92308182702,6685.789094181819
mAb4,22,0.010231,5275.35,24.2784,0.22917316257646161,57670.97856880512,6685.789094181819
mAb4,22,0.010369,5304.6,24.1906,0.14489871450698263,36463.4783804214,6685.789094181819
mAb4,22,0.010507,5333.69,24.1051,0.08777526813848138,22088.47471831071,6685.789094181819
mAb4,22,0.010645,5362.62,24.0218,0.06047343458080151,15218.021650016928,6685.789094181819
mAb4,22,0.010783,5391.41,23.9406,0.03582066472486495,9014.200286121197,6685.789094181819
mAb4,22,0.010922,5420.24,23.8609,0.02506470559903062,6307.484188742319,6685.789094181819
mAb4,22,0.01106,5448.72,23.7838,0.020149361562972933,5070.547466419046,6685.789094181819
mAb4,22,0.011198,5477.06,23.7086,0.015462166553859649,3891.0240009338836,6685.789094181819
mAb4,22,0.011337,5505.45,23.6348,0.01189670426055633,2993.7823815694264,6685.789094181819
mAb4,22,0.011475,5533.49,23.5634,0.010650757074521077,2680.24220672575,6685.789094181819
mAb4,22,0.011613,5561.4,23.4938,0.010174179107126109,2560.312292441699,6685.789094181819
